number;title;category_id;file
511;Καρδιά μου, τόνισε ύμνο γλυκό;4;511.mp3
301;Κάστρο γερό είν’ ο Θεός;7;301.mp3
433;Κι αν ζω εδώ κάτω στο μικρό μου καλύβι;13;433.mp3
744;Κοιτώ για τους αγγέλους;13;744.mp3
1245;Κύριέ μου η μορφή Σου;19;1245.mp3
1059;Κύριέ μου Σε υψώνω;1;1059.mp3
514;Κύριε, αφήνω την καρδιά μου;15;514.mp3
35;Κύριε, είσαι το Άλφα και το Ωμέγα;1;35.mp3
735;Κύριε, έρχομαι;5;735.mp3
1145;Κύριε, Εσένα όταν σκέφτομαι;4;1145.mp3
36;Κύριε, Σε λατρεύω;1;36.mp3
515;Κύριε, στη σκιά Σου κατοικώ;15;515.mp3
275;Κύριε, στην αγάπη Σου θα τρέξω;19;275.mp3
1106;Κύριε, τι να προσφέρω;;10;1106.mp3
246;Λάβε την εμήν ζωήν;5;246.mp3
516;Λαμπρός ο δρόμος τ’ Ουρανού;4;516.mp3
435;Λαμπροτέρα ηλίου η γη;13;435.mp3
4;Λατρεία, τιμή εις τον Πλάστην Θεόν;1;4.mp3
1125;Λατρεία, τιμή, στον Πατέρα Θεό;1;1125.mp3
89;Λατρεύω έναν Σωτήρα που ζει στους ουρανούς;2;89.mp3
752;Λύγισαν οι ώρες και με πάνε;5;752.mp3
1296;Λυσσομανούν οι ανέμοι;7;1296.mp3
1250;Μ' αγάπη άπειρη, γλυκιά;3;1250.mp3
344;Μ’ ένα παράπονο σκύβει ο Χριστός μας;8;344.mp3
12;Μ’ ευγνωμοσύνη στην καρδιά;1;12.mp3
37;Μαζευτήκαμε εδώ;1;37.mp3
214;Μάθε μου, Κύριε, μάθε μου Εσύ;4;214.mp3
1186;Μας προσκαλούν οι καμπάνες;9;1186.mp3
1140;Με δύναμη έρχεται ο Κύριος;1;1140.mp3
148;Με εν βλέμμα πιστόν επί τον Ιησούν;3;148.mp3
1275;Με θάρρος πάντοτε εγώ;4;1275.mp3
522;Με τη δύναμή Του είμαστε νικητές;7;522.mp3
215;Με το φως της Γραφής;4;215.mp3
303;Με τον Χριστό έχω πια σταυρωθεί;7;303.mp3
523;Με φωνές δοξαστικές;1;523.mp3
436;Μέρα χρυσή, πότε θα δω;13;436.mp3
150;Μες στη θερμή Του αγκάλη γείρε;3;150.mp3
278;Μες στης νυχτιάς την όμορφη σιγή;6;278.mp3
525;Μες στον τραχύ μου τον δρόμο;7;525.mp3
788;Μες στον Χριστό, είν’ η καρδιά.;4;788.mp3
460;Μες στου Κυριακού Σχολείου;14;460.mp3
1263;Μες στου Χριστού τη συντροφιά;2;1263.mp3
778;Μέσ’ απ’ τα μάτια Σου, Θεέ;5;778.mp3
1357;Μεσ’ απ’ την καρδιά μου Σε ευχαριστώ;19;1357.mp3
780;Μέσ’ απ’ την ψυχή μου Σ’ αγαπώ;5;780.mp3
91;Μέσα σε στέπες άγονες, μέσα σε ερημιές;2;91.mp3
1235;Μέσα στη νύχτα του κόσμου;19;1235.mp3
156;Μέσα στον κόσμο, χωρίς Χριστόν;3;156.mp3
158;Μετράει ο βοσκός τα πρόβατα;3;158.mp3
159;Μη αμελής είναι καιρός;3;159.mp3
304;Μη φοβηθείς, σε λύτρωσα;7;304.mp3
528;Μην πεις πως κάποιον αγαπάς;15;528.mp3
1294;Μια γλυκιά φωνή ακούω;7;1294.mp3
248;Μια ειρήνη βαθιά;5;248.mp3
93;Μια μέρα άνοιξε για με ο Ουρανός;2;93.mp3
1312;Μια μέρα θα λησμονηθούνε;13;1312.mp3
437;Μια μέρα όλα θα παρέλθουν;13;437.mp3
1321;Μια νύχτα γλυκιά, χιλιοϋμνητη;9;1321.mp3
361;Μια νύχτα μέσα σε φάτνη εγεννήθη;9;361.mp3
362;Μια νύχτα π’ εσφύριζε ο βοριάς;9;362.mp3
785;Μια νύχτα πριν καιρό πολύ, όπως λέει η Γραφή;9;785.mp3
345;Μια φωνή ακούγεται να σε καλεί;8;345.mp3
1315;Μια χώρα ξέρω μακρινή;13;1315.mp3
438;Μιαν άνοιξη προσμένω, στον κόσμο για να ’ρθεί;13;438.mp3
363;Μικρή, σεμνή και ταπεινή;9;363.mp3
1167;Μοιάζω οδοιπόρος χαμένος;4;1167.mp3
216;Μόνη η σκέψις περί Σου;4;216.mp3
94;Μόνος γυρνώ στον κόσμο ολημερίς;2;94.mp3
305;Μυστήρια η ζωή μας κλείνει;7;305.mp3
1371;Να νιωθα στα χέρια μου τα χέρια Σου;19;1371.mp3
405;Να ψάχνεις πάψε;11;405.mp3
1094;Ναι, τρέχω μπροστά Του τώρα;1;1094.mp3
796;Νέε, τα νιάτα πετούνε γοργά;3;796.mp3
306;Νιώθω τόσο αδύναμος;7;306.mp3
364;Νυξ ιερά, σιωπηλή;9;364.mp3
1203;Νύχτα βαθιά ;9;1203.mp3
1279;Νύχτα γεννήθηκε μέσα σε φάτνη;4;1279.mp3
365;Νύχτα γλυκιά, οι άγγελοι δοξάζουν;9;365.mp3
1239;Νύχτα σιμώνει, σκότος ζοφερό;19;1239.mp3
307;Νύχτωσε κι οι σκιές;7;307.mp3
1317;Ξένοι είμαστε σ' άξενη γη;13;1317.mp3
440;Ξέρω μια χώρα μακρινή;13;440.mp3
532;Ο δρόμος σου έρημος και σκοτεινός;15;532.mp3
441;Ο Θεός ας είναι μεθ’ ημών;13;441.mp3
1104;Ο Θεός είναι άξιος και άγιος Θεός.;1;1104.mp3
1350;Ο Θεός θ’ ανοίξει οδό;2;1350.mp3
1286;Ο Θεός καταφυγή;4;1286.mp3
249;Ο Θεός μου με ποιμαίνει;5;249.mp3
166;Ο Ιησούς σε προσκαλεί;3;166.mp3
812;Ο Ιησούς Χριστός σου μιλά;3;812.mp3
165;Ο Ιησούς, ο Χριστός, σε φωνάζει;3;165.mp3
218;Ο Κύριος είν’ ο βοσκός μου;4;218.mp3
814;Ο Κύριος είν’ ο Ποιμήν μου;4;814.mp3
95;Ο Κύριος είν’ ο Ποιμήν που μ’ οδηγεί;2;95.mp3
535;Ο Κύριός μου, χαρά και φως μου;15;535.mp3
536;Ο Λόγος Σου είναι λυχνάρι στα πόδια μου;15;536.mp3
1330;Ο πόνος Σου ω Ιησού;10;1330.mp3
1336;Ο Σωτήρας θα ξανάρθει;12;1336.mp3
415;Ο Χριστός μάς υπεσχέθη;12;415.mp3
1303;Οι άγγελοι γλυκά;5;1303.mp3
1328;Οι άγγελοι εκστατικοί σιγούν;10;1328.mp3
826;Οι ημέρες πλησιάζουν και τα τέλη των καιρών;12;826.mp3
1306;Όλα τώρα στον Σωτήρα;5;1306.mp3
1122;Όλη η γη κράζει σε Σε;1;1122.mp3
219;Όλο κοντά Σου, ναι, πιο κοντά;4;219.mp3
279;Ολόγιομο Σου το ’δωσα;6;279.mp3
98;Οποίον έργον έκαμε;2;98.mp3
99;Οποίον φίλον εύρηκα;2;99.mp3
539;Όπου δυο είτε τρεις;15;539.mp3
310;Όπως το ελάφι πάντα;7;310.mp3
442;Όταν εκ της γης αυτής κληθώ;13;442.mp3
1109;Όταν η μουσική σβήνει στη σιωπή;5;1109.mp3
311;Όταν θύελλαι του βίου;7;311.mp3
823;Όταν θύελλες και θλίψεις;7;823.mp3
540;Όταν νιώθω να φωλιάζει;6;540.mp3
541;Όταν οι μέρες σκοτεινές;7;541.mp3
542;Όταν όλα μας γελάνε;15;542.mp3
250;Όταν Σε σκέπτομαι Χριστέ;5;250.mp3
416;Όταν στα σύννεφα θα ’ρθείς;12;416.mp3
1154;Όταν τα μάτια σηκώνω ψηλά;5;1154.mp3
312;Όταν της ζωής ο δρόμος;7;312.mp3
41;Όταν, Θεέ, παρατηρώ;1;41.mp3
417;Ουδείς των θνητών θα γνωρίζη την ώραν;12;417.mp3
444;Πάμε για τον Ουρανό, τι χαρά;13;444.mp3
101;Πάντα θα μένει στον νου ζωηρή;2;101.mp3
543;Πάντα, απ’ τα μικρά μου χρόνια;2;543.mp3
169;Πάνω από τον Ουρανό;3;169.mp3
313;Πάσα είν’ έρημος αύτη η γη;7;313.mp3
1287;Πατέρα απόψε πώς ποθώ;6;1287.mp3
544;Πατέρα Ουράνιε, Σ’ αγαπούμε;1;544.mp3
314;Περνώ στιγμές μες στη ζωή;7;314.mp3
546;Περπατώ μες στο φως;2;546.mp3
547;Πες μαζί μου αλληλούια;1;547.mp3
836;Πες μου για τα αιώνια, τ’ αγνά, τ’ αληθινά;3;836.mp3
837;Πέταξε σαν ολάσπρο περιστέρι;3;837.mp3
1299;Πήρα τον τραχύ μου δρόμο;5;1299.mp3
1115;Πιο πάνω απ’ όλα, Συ Βασιλιάς;1;1115.mp3
171;Πίστευσον εις τον Σωτήρα;3;171.mp3
1074;Ποιητή και βασιλιά μου;1;1074.mp3
1278;Ποιμένας μου ο Κύριος χορταίνει την ψυχή;4;1278.mp3
222;Ποιμήν καλός ο Κύριος;4;222.mp3
548;Ποιος είμαι εγώ για να μπω στον λαό Σου;1;548.mp3
1162;Ποιος είναι η ελπίδα μας;4;1162.mp3
866;Ποιος θ’ ανεβεί στην ουράνια Σιών;4;866.mp3
1132;Ποιος θα συγκριθεί με το Θεό μας;1;1132.mp3
549;Ποιος μπορεί με Σε να συγκριθεί;1;549.mp3
104;Πολύ παλιά τα νέα;2;104.mp3
223;Πολύτιμος Κύριος είν’ ο Χριστός;4;223.mp3
1255;Πορεύτηκα σε χώρα πλανερή;3;1255.mp3
1361;Πόσον αγαπητοί;5;1361.mp3
280;Πόσον μέγα εν Σοι φίλον;6;280.mp3
550;Πότε μ’ αλληλούια, πότε μ’ ωσαννά;15;550.mp3
447;Πότε πάλι θα ανοίξουν;13;447.mp3
172;Πού τέκνον μου συ προσφιλές;3;172.mp3
857;Πού τρέχεις, πού γυρνάς;3;857.mp3
858;Πριν γεννηθώ, πριν βουτηχτώ;2;858.mp3
1206;Προς Σε υψούται, Κύριε;5;1206.mp3
11;Προς Σε, Ουράνιε Αμνέ;1;11.mp3
14;Προσκυνούμεν Σε, Θεέ;1;14.mp3
318;Πύργος μου είναι ο Θεός;7;318.mp3
45;Πώς είναι δυνατόν ποτέ;1;45.mp3
1354;Πως θα ‘θελα κι εγώ να ‘μουν;9;1354.mp3
1251;Πώς θα λυτρωθώ εγώ;;3;1251.mp3
252;Πώς θέλω να είμαι κοντά στον Χριστόν;5;252.mp3
105;Σ’ είδα μες στ’ αστέρια τ’ ουρανού.;1;105.mp3
383;Σ’ ένα λόφο ψηλά;10;383.mp3
1149;Σ’ ευλογώ ω Θεέ, ω Θεέ;1;1149.mp3
1353;Σ’ όλους μας αρέσουν τα Χριστούγεννα;9;1353.mp3
406;Σαλεύουν δάφνες, δακρύζουν μάτια;11;406.mp3
551;Σαν γη που ποθεί του Μαγιού τη βροχή;19;551.mp3
883;Σαν ηλιοτρόπι διψώ το φως Σου;5;883.mp3
106;Σαν θυμηθώ τι έκανε για με;2;106.mp3
1272;Σαν πορεύεται κοντά μου ο Χριστός;4;1272.mp3
225;Σαν προχωρώ με τον Χριστό;4;225.mp3
366;Σαν ρόδο του Απρίλη;9;366.mp3
1081;Σαν τον Δαβίδ στον Θεό μπροστά;4;1081.mp3
176;Σαν τον ήλιο είν’ η αγάπη;3;176.mp3
226;Σαν τον Ιησού δεν έχω;4;226.mp3
906;Σαν τον Πέτρο περπάτησα;4;906.mp3
1121;Σαν φωτιά που καίει;1;1121.mp3
109;Σαν χαμένος στη ζωή τριγυρνούσα;2;109.mp3
1254;Σας αναγγέλουμε την αγάπη;3;1254.mp3
915;Σε εμπιστεύομαι;5;915.mp3
1130;Σε ευχαριστώ για το κόστος του Σταυρού;1;1130.mp3
319;Σε κορυφές κυμάτων αν περπατάς εσύ;7;319.mp3
1222;Σε λατρεύουμε Θεέ;1;1222.mp3
1037;Σε προσκυνούμε, ω, Θεέ, του σύμπαντος Δημιουργέ;1;1037.mp3
1051;Σε σένα ανήκει, Θεέ;1;1051.mp3
48;Σε Σένα θα ψάλλω;1;48.mp3
916;Σε Σένα πιο κοντά, Θεέ, ποθώ;4;916.mp3
1237;Σε Σένα πιο κοντά, Θεέ, ποθώ;19;1237.mp3
1188;Σε Σένα που τις νύχτες μας γλυκαίνεις;1;1188.mp3
1180;Σιγά κι ενάερα ;13;1180.mp3
407;Σκυθρωπός οδοιπορούσα;11;407.mp3
1066;Σου ανήκει η δόξα;1;1066.mp3
1302;Σου προσφέρω τη ζωή;5;1302.mp3
320;Στα βουνά ψηλά;7;320.mp3
1284;Στεναγμοί και θρήνοι ηχούν τόσο συχνά;4;1284.mp3
177;Στη ζωή αν νιώθεις συχνά;3;177.mp3
110;Στη φτωχή μου καρδιά;2;110.mp3
552;Στην καρδιά, Χριστέ, στην καρδιά;15;552.mp3
1280;Στήριγμά μου είν' τα χέρια που θεμέλιωσαν τη γη;4;1280.mp3
227;Στηρίζω την ελπίδα μου;4;227.mp3
555;Στο καρνάγιο η ελπίδα;15;555.mp3
922;Στο μονοπάτι εκεί του πόνου;10;922.mp3
385;Στον Γολγοθά ο Ιησούς;10;385.mp3
1331;Στον Σταυρό Σου, Ιησού, πάντα θ' ατενίζω;10;1331.mp3
386;Στον Σταυρόν, ω, Ιησού;10;386.mp3
419;Στους δρόμους, στα σπίτια;12;419.mp3
1323;Στρατιά αγγελική;9;1323.mp3
1285;Στρατιές αγγελικές με άρπες τ' Ουρανού;4;1285.mp3
1326;Συ Θεός ισχυρός, η πηγή του φωτός;10;1326.mp3
255;Συ μερίς μου αιωνία;5;255.mp3
256;Συ μερίς μου είσαι, Σώτερ;5;256.mp3
347;Συ που βρήκες την ειρήνη, τη γλυκιά χαρά;8;347.mp3
180;Συ που νιώθεις κουρασμένος;3;180.mp3
112;Συ, ουράνιε Πατέρα;1;112.mp3
322;Συν Χριστώ παντού υπάγω ασφαλώς;4;322.mp3
323;Σώτερ, προς Σε ατενίζω;7;323.mp3
50;Σωτήρ, ω, όνομα σεπτόν;1;50.mp3
914;Σωτήρα υπερέχει αληθινά;1;914.mp3
1334;Σωτήρα, άπειρος ωκεανός;10;1334.mp3
54;Τ’ όνομά Σου μένει πάντα;1;54.mp3
559;Τα καλύτερα λόγια μου;19;559.mp3
1141;Τα μάτια μου άνοιξε, Κύριε;5;1141.mp3
420;Τα μάτια μου αντικρίζουν του Χριστού τον ερχομό;12;420.mp3
1236;Τα ματωμένα χείλη μου;19;1236.mp3
1185;Τα φτερά μου τώρα ανοίγω;2;1185.mp3
953;Ταπεινά σε Σένα τρέχω, Ιησού Χριστέ.;5;953.mp3
258;Ταπεινώς εις Σε προστρέχω;5;258.mp3
959;Τη ζωή που μου χάρισες;5;959.mp3
1338;Τη μέρα αγνοώ, δεν γνωρίζω την ώρα;12;1338.mp3
560;Τη φύση σαν κοιτάζω;1;560.mp3
228;Την ειρήνη Μου αφήνω σε σας;4;228.mp3
1017;Την πρόνοιά Σου, ω, Θεέ;1;1017.mp3
1221;Την τιμή και λατρεία στον 'Αγιο Θεό;1;1221.mp3
3;Την τιμήν και λατρείαν στον Πλάστην Θεόν;1;3.mp3
51;Την του Θεού γλυκιά αγάπη;1;51.mp3
